Timestamp,DayInWeek,DayType,DurationSeconds_Source1,DistanceMeters_Source1,SpeedKmPerHour_Source1,SegmentCode,index,name,updateTime,id,Length_Source2,Time_Source2,HistoricTime_Source2,SpeedKmPerHour_Source2,HistoricSpeedKmPerHour_Source2
2024-02-13 00:45:00,יום ג,יום חול,68,252,13.34117603,10,922,10_KATZIR--HOSPITAL2EMEKHAELA-T,2024-02-13 00:45:00,1694271601384.0,257.0,63.46666666666667,63.46666666666667,14.577731092436975,14.577731092436975
2024-02-13 01:00:00,יום ג,יום חול,67,252,13.54029846,10,923,10_KATZIR--HOSPITAL2EMEKHAELA-T,2024-02-13 01:00:00,1694271601384.0,257.0,68.57142857142857,68.57142857142857,13.4925,13.4925
2024-02-13 01:00:00,יום ג,יום חול,87,628,25.98620605,11,1821,11_EMEKHAELA--GABRIELS2KATZIR-R,2024-02-13 01:00:00,1694271159667.0,622.0,91.57142857142856,91.57142857142856,24.45304212168487,24.45304212168487
2024-02-13 00:45:00,יום ג,יום חול,109,628,20.74128532,11,1820,11_EMEKHAELA--GABRIELS2KATZIR-R,2024-02-13 00:45:00,1694271159667.0,622.0,89.4,89.4,25.04697986577181,25.04697986577181
2024-02-13 00:30:00,יום ג,יום חול,82,628,27.57073212,11,1819,11_EMEKHAELA--GABRIELS2KATZIR-R,2024-02-13 00:30:00,1694271159667.0,622.0,88.33333333333333,88.33333333333333,25.349433962264158,25.349433962264158
2024-02-13 00:30:00,יום ג,יום חול,42,409,35.05714417,12,2717,12_BENGURION--HANASI2MENDES-T,2024-02-13 00:30:00,1694269703496.0,405.0,27.4,26.933333333333334,53.2116788321168,54.13366336633664
2024-02-13 00:45:00,יום ג,יום חול,33,409,44.61818314,12,2718,12_BENGURION--HANASI2MENDES-T,2024-02-13 00:45:00,1694269703496.0,405.0,28.0,25.73333333333333,52.07142857142857,56.6580310880829
2024-02-13 01:00:00,יום ג,יום חול,32,409,46.01250076,12,2719,12_BENGURION--HANASI2MENDES-T,2024-02-13 01:00:00,1694269703496.0,405.0,26.642857142857142,23.642857142857142,54.72386058981234,61.66767371601209
2024-02-13 00:45:00,יום ג,יום חול,72,642,32.09999847,13,3616,13_MENDES--KATZIR2SHIBA-R,2024-02-13 00:45:00,1694272268271.0,652.0,64.2,64.2,36.5607476635514,36.5607476635514
2024-02-13 01:00:00,יום ג,יום חול,80,642,28.88999939,13,3617,13_MENDES--KATZIR2SHIBA-R,2024-02-13 01:00:00,1694272268271.0,652.0,62.142857142857146,62.142857142857146,37.77103448275862,37.77103448275862
2024-02-13 01:00:00,יום ג,יום חול,87,640,26.48275948,14,4515,14_MENDES--KATZIR2SHIBA-L,2024-02-13 01:00:00,1694272101417.0,662.0,70.0,70.0,34.04571428571429,34.04571428571429
2024-02-13 00:45:00,יום ג,יום חול,80,640,28.79999924,14,4514,14_MENDES--KATZIR2SHIBA-L,2024-02-13 00:45:00,1694272101417.0,662.0,72.2,72.2,33.00831024930748,33.00831024930748
2024-02-13 00:30:00,יום ג,יום חול,80,640,28.79999924,14,4513,14_MENDES--KATZIR2SHIBA-L,2024-02-13 00:30:00,1694272101417.0,662.0,73.0,73.0,32.64657534246575,32.64657534246575
2024-02-13 00:45:00,יום ג,יום חול,19,235,44.5263176,15,5412,15_BENGURION--SHLOMO2MENDES-R,2024-02-13 00:45:00,1694269535039.0,236.0,18.73333333333333,19.266666666666666,45.35231316725979,44.09688581314879
